# %ECSV 0.9
# ---
# datatype:
# - {name: facet_num,datatype: int}
# - {name: chan_id,datatype: int}
# - {name: SPO_MM_num,datatype: int}
# - {name: SPO_row_num,datatype: int}
# - {name: X,unit: mm,datatype: float64}
# - {name: Y,unit: mm,datatype: float64}
# - {name: Z,unit: mm,datatype: float64}
# - {name: DispNX,datatype: float64}
# - {name: DispNY,datatype: float64}
# - {name: DispNZ,datatype: float64}
# - {name: GBarNX,datatype: float64}
# - {name: GBarNY,datatype: float64}
# - {name: GBarNZ,datatype: float64}
# - {name: NormNX,datatype: float64}
# - {name: NormNY,datatype: float64}
# - {name: NormNZ,datatype: float64}
# - {name: xsize,unit: mm,datatype: float64}
# - {name: ysize,unit: mm,datatype: float64}
# - {name: period,unit: mm,datatype: float64}
# Author: Casey DeRoo
# ORIGFILE: arcusTrace.ParamFiles.arcus_params_wsdesign_rev1p0.py
# Description: Specifications of CAT Grating Facets from preliminary specifications for Arcus 2020 (E. Hertz, as of 20/04/24)
facet_num,chan_id,SPO_MM_num,SPO_row_num,X,Y,Z,DispNX,DispNY,DispNZ,GBarNX,GBarNY,GBarNZ,NormNX,NormNY,NormNZ,xsize,ysize,period
61,1,10,2,21.5,525.6,11863.63355,0.9994480536345465,-0.001470331754187729,-0.033187741873310306,0.0,0.9990200441246424,-0.0442600433483477,0.0332202962978485,0.04423561417828675,0.9984686386422725,28,28.5,0.0002
62,1,10,2,54.5,557.6,11860.28579,0.9993518543039728,-0.0016905542479513777,-0.03595849448386273,0.0,0.9988966685258723,-0.04696217209535104,0.035998212444665265,0.04693173376563136,0.9982492379493915,28,28.5,0.0002
63,1,10,2,54.5,524.1,11861.81762,0.999351854363325,-0.0015889869485905686,-0.03596312418382301,0.0,0.9990253234152194,-0.04414072014723124,0.035998210796980824,0.044112110532068115,0.99837780951092,28,28.5,0.0002
64,1,10,2,87.5,554.5,11858.36431,0.9992478981078581,-0.0018112322737291568,-0.038734449327159574,0.0,0.9989085293905943,-0.04670920584553069,0.03877677303525515,0.04667407576343383,0.998157248395563,28,28.5,0.0002
65,1,10,2,87.5,521.0,11859.88782,0.9992478982150805,-0.0017018062999866954,-0.038739408462977874,0.0,0.9990364899145912,-0.04388726260696638,0.03877677027221473,0.043854254918424464,0.9982851127873269,28,28.5,0.0002
66,1,11,2,130.5,541.8,11855.98275,0.9991007837094796,-0.0019355208924343639,-0.04235419400695169,0.0,0.9989574585764741,-0.04565080453214506,0.042398396091167787,0.0456097545850344,0.9980591797561852,28,28.5,0.0002
67,1,11,2,130.5,508.3,11857.47085,0.9991007838908957,-0.001815844938231238,-0.04235948932362179,0.0,0.9990824535817323,-0.04282815598535455,0.042398391816173026,0.04278964421756928,0.9981840625451481,28,28.5,0.0002
68,1,11,2,163.5,535.2,11853.79123,0.9989789217089415,-0.002037746933423239,-0.04513271062849735,0.0,0.9989822894126144,-0.04510416211317324,0.04517868945908407,0.04505810723240311,0.9979622502837434,28,28.5,0.0002
69,1,11,2,163.5,501.7,11855.26111,0.9989789219593883,-0.0019101963748266654,-0.04513828342624187,0.0,0.9991057620204279,-0.04228092120070131,0.045178683921271355,0.04223774908052645,0.9980855970665804,28,28.5,0.0002
70,1,11,2,196.5,528.4,11851.42015,0.9988492646107526,-0.002136185399323227,-0.047912245809377536,0.0,0.9990075516001582,-0.044541125332184225,0.047959843479295224,0.04448987028298758,0.9978579582564064,28,28.5,0.0002
